click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,day_of_week,date,time
0,1005,0,755,1712,3,2129,65,0,43137,141932,844,1,0,20352,320,50,2333,0,39,-1,157,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,183409,936,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1002,0,2052,1680,5,2129,65,0,30034,225290,448,0,0,21692,216,36,2497,3,43,100151,42,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,56913,4062,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,74227,2358,1,0,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,61040,559,1,0,15703,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,235453,1910,1,0,15702,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,65945,456,1,0,15702,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,24,67,10,2129,65,0,43137,56378,2082,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,1145,1680,5,185,17,24,43137,83794,3054,1,0,18936,320,50,1926,2,39,-1,13,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,179522,2923,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,99433,3068,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,1,123,1800,19,2129,65,0,43137,120847,4307,1,0,16615,320,50,1863,3,39,-1,23,1,0,0
1,1005,0,2060,855,19,2129,65,0,43137,3041,4367,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,113447,3372,1,0,15704,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,234936,229,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,96,37,24,43137,28611,136,1,0,18993,320,50,2161,0,35,100034,157,1,0,0
0,1005,1,1141,758,19,2129,65,0,43137,198421,3652,1,0,19950,320,50,1800,3,167,100075,23,1,0,0
0,1005,1,123,1800,19,2129,65,0,43137,43905,3652,1,0,19950,320,50,1800,3,167,100075,23,1,0,0
0,1010,1,1145,1680,5,1768,65,3,10571,198800,4102,4,0,21311,320,50,2449,0,163,100105,91,1,0,0
0,1005,0,533,1859,19,2129,65,0,43137,6050,841,1,0,20005,320,50,2283,0,163,-1,95,1,0,0
0,1010,1,1145,1680,5,2302,65,3,16113,4524,4102,4,0,21665,320,50,2493,3,35,-1,117,1,0,0
0,1010,1,1145,1680,5,139,65,3,19248,208106,3071,5,0,21665,320,50,2493,3,35,-1,117,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,204798,1910,1,0,15708,320,50,1722,0,35,100083,79,1,0,0
0,1005,1,1561,1532,19,2129,65,0,43137,231659,1065,1,0,19771,320,50,2227,0,687,100079,48,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,198335,1329,1,0,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,1258,1372,3,2129,65,0,43137,257916,2464,1,2,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,1126,794,19,2129,65,0,43137,211521,2457,1,0,16859,320,50,1887,3,39,-1,23,1,0,0
0,1002,0,1868,776,5,2129,65,0,54954,192006,3132,0,0,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,872,902,19,2129,65,0,43137,201288,2712,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,77390,777,1,0,20508,320,50,2351,3,163,100020,61,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,28758,934,1,0,15701,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,254004,3372,1,0,15707,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,963,1795,20,2129,65,0,43137,186954,503,1,0,21612,320,50,2481,3,297,100111,61,1,0,0
0,1002,0,175,341,5,2129,65,0,55383,153523,183,0,0,17914,320,50,2043,2,39,100084,32,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,226233,3277,1,0,15701,320,50,1722,0,35,100083,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,143519,2034,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,24888,2358,1,0,15704,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,174053,3696,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,247887,3696,1,0,15704,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,199230,2358,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,2029,51,3,43137,180668,3592,1,0,20633,320,50,2374,3,39,-1,23,1,0,0
0,1005,0,24,67,10,2129,65,0,43137,207649,3685,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,32098,2358,1,0,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,251370,4293,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1748,1601,19,2129,65,0,43137,146706,1149,1,0,20596,320,50,2161,0,35,-1,157,1,0,0
0,1005,1,1918,1093,19,2129,65,0,43137,218584,2069,1,0,20355,216,36,2333,0,39,-1,157,1,0,0
0,1005,1,1714,1894,0,2129,65,0,43137,62807,2358,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,84058,3372,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,76419,3696,1,0,20362,320,50,2333,0,39,-1,157,1,0,0
1,1005,0,1145,1680,5,496,17,21,30363,36874,3351,1,2,20596,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,74020,2156,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,172055,526,1,0,15702,320,50,1722,0,35,-1,79,1,0,0
