,click,C1,banner_pos,site_domain,site_category,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C15,C16,date,time,user_id,device_ip_count,device_id_count,user_count,user_hour_count,user_bagged
0,0,1005,0,227,3,12,0,438,1599,138,1,0,320,50,0,0,1681,2,2,2,95,232
1,0,1005,1,7,12,12,0,438,611,393,1,0,320,50,0,0,638,30,30,30,95,232
2,0,1005,0,225,4,15,2,438,1212,505,1,0,320,50,0,0,1264,1499,1499,1499,95,255
3,0,1005,0,125,3,12,0,438,1034,373,1,0,300,250,0,0,1081,97,97,97,95,232
4,0,1005,0,227,3,12,0,438,3474,746,1,0,320,50,0,0,3663,2,2,2,95,232
5,0,1005,0,275,1,12,0,438,1832,453,1,0,320,50,0,0,1913,720,720,720,95,232
6,0,1005,0,275,1,12,0,438,2143,67,1,0,320,50,0,0,2237,720,720,720,95,232
7,0,1002,0,225,4,12,0,358,196,709,0,0,300,50,0,0,2296,4,4,4,95,232
8,1,1005,0,275,1,12,0,438,3697,157,1,0,320,50,0,0,3902,720,720,720,95,232
9,0,1005,0,275,1,12,0,438,403,108,1,0,320,50,0,0,428,720,720,720,95,232
10,0,1005,1,91,12,12,0,438,1591,324,1,0,320,50,0,0,1675,89,89,89,95,232
11,0,1005,1,15,12,12,0,438,358,453,1,0,320,50,0,1,381,79,79,79,100,232
12,0,1005,1,137,12,12,0,438,1988,271,1,0,320,50,0,1,2082,266,266,266,100,232
13,0,1005,0,194,12,12,0,438,1931,738,1,0,300,50,0,1,2022,21,21,21,100,232
14,0,1005,0,114,12,12,0,438,3696,588,1,0,320,50,0,1,3900,23,23,23,100,232
15,0,1005,0,275,1,12,0,438,1325,497,1,2,320,50,0,1,1382,720,720,720,100,232
16,0,1005,1,278,6,12,0,438,3399,448,1,0,320,50,0,1,3576,1,1,1,100,232
17,1,1005,1,7,12,12,0,438,3671,393,1,0,320,50,0,1,3872,30,30,30,100,232
18,1,1005,1,217,2,12,0,438,3860,406,1,0,320,50,0,1,4074,3,3,3,100,232
19,0,1005,1,137,12,12,0,438,1641,8,1,0,320,50,0,1,1721,266,266,266,100,232
20,0,1005,0,275,1,12,0,438,1644,540,1,0,320,50,0,1,1725,720,720,720,100,232
21,0,1005,0,225,4,3,2,438,1996,196,1,0,320,50,0,1,2091,1499,1499,1499,100,253
22,0,1005,1,16,12,12,0,438,2266,453,1,0,320,50,0,1,2377,27,27,27,100,232
23,0,1005,0,275,1,12,0,438,571,453,1,0,320,50,0,1,596,720,720,720,100,232
24,0,1005,0,104,12,12,0,438,1952,453,1,0,320,50,0,1,2041,1,1,1,100,232
25,0,1005,0,171,12,12,0,438,3069,116,1,0,320,50,0,1,3231,35,35,35,100,232
26,0,1005,0,171,12,12,0,438,2652,620,1,0,320,50,0,1,2789,35,35,35,100,232
27,0,1005,0,225,4,8,2,505,1864,805,1,0,320,50,0,1,3127,1499,1499,1499,100,219
28,0,1005,0,275,1,12,0,438,2374,108,1,0,320,50,0,1,2498,720,720,720,100,232
29,0,1005,0,125,3,12,0,438,1953,393,1,0,300,250,0,1,2043,97,97,97,100,232
30,0,1005,0,225,4,31,9,448,240,475,1,2,320,50,0,2,2792,1499,1499,1499,136,239
31,1,1005,0,216,12,12,0,438,3829,453,1,0,320,50,0,2,4044,23,23,23,136,232
32,0,1005,0,242,2,12,0,438,3850,719,1,0,320,50,0,2,4065,1,1,1,136,232
33,1,1005,0,275,1,12,0,438,3216,128,1,0,320,50,0,2,3384,720,720,720,136,232
34,1,1005,0,275,1,12,0,438,1991,123,1,0,320,50,0,2,2086,720,720,720,136,232
35,1,1005,1,175,12,12,0,438,2786,540,1,0,320,50,0,2,2936,99,99,99,136,232
36,0,1005,0,9,12,12,0,438,2486,362,1,0,320,50,0,2,2616,1,1,1,136,232
37,0,1005,0,225,4,3,6,198,3773,766,1,0,320,50,0,2,1273,1499,1499,1499,136,208
38,0,1005,0,171,12,12,0,438,241,832,1,0,320,50,0,2,259,35,35,35,136,232
39,0,1005,0,275,1,12,0,438,371,219,1,0,320,50,0,2,394,720,720,720,136,232
40,0,1002,0,225,4,12,0,549,50,519,0,0,320,50,0,2,3488,1499,1499,1499,136,88
41,0,1005,0,275,1,12,0,438,482,426,1,0,320,50,0,2,512,720,720,720,136,232
42,0,1005,1,124,12,12,0,438,557,453,1,0,320,50,0,2,577,4,4,4,136,232
43,0,1005,0,225,4,8,2,438,1897,346,1,0,320,50,0,2,1985,1499,1499,1499,136,219
44,0,1005,0,225,4,3,2,306,731,85,1,2,320,50,0,2,2006,1499,1499,1499,136,49
45,0,1005,1,15,12,12,0,438,1380,393,1,0,320,50,0,2,1443,79,79,79,136,232
46,0,1005,0,275,1,12,0,438,3166,125,1,0,320,50,0,2,3333,720,720,720,136,232
47,0,1005,0,225,4,20,2,438,1314,6,1,2,728,90,0,2,1370,1499,1499,1499,136,254
48,0,1005,0,225,4,15,2,438,3130,577,1,0,320,50,0,2,3295,1499,1499,1499,136,255
49,0,1005,0,225,4,6,12,438,2852,466,1,2,320,50,0,2,3001,1499,1499,1499,136,14
50,1,1005,1,175,12,12,0,438,62,67,1,0,320,50,0,2,67,99,99,99,136,232
51,0,1005,0,275,1,12,0,438,2378,453,1,0,320,50,0,2,2510,720,720,720,136,232
52,0,1005,0,254,12,12,0,438,2865,453,1,0,320,50,0,2,3017,1,1,1,136,232
53,0,1005,0,96,12,12,0,438,756,483,1,0,320,50,0,2,790,17,17,17,136,232
54,0,1005,0,275,1,12,0,438,1925,67,1,0,320,50,0,3,2016,720,720,720,156,232
55,0,1005,1,38,1,12,0,438,761,313,1,0,320,50,0,3,794,6,6,6,156,232
56,1,1005,1,137,12,12,0,438,3715,436,1,0,216,36,0,3,3920,266,266,266,156,232
57,0,1005,0,275,1,12,0,438,1426,848,1,0,320,50,0,3,1498,720,720,720,156,232
58,0,1005,0,221,12,12,0,438,3095,638,1,0,320,50,0,3,3259,1,1,1,156,232
59,0,1005,0,225,4,3,2,438,146,746,1,0,320,50,0,3,155,1499,1499,1499,156,117
60,0,1005,0,275,1,12,0,438,238,108,1,0,320,50,0,3,258,720,720,720,156,232
61,1,1005,0,275,1,12,0,438,2834,123,1,0,320,50,0,3,2981,720,720,720,156,232
62,0,1005,0,225,4,27,2,438,2982,577,1,0,320,50,0,3,3146,1499,1499,1499,156,224
63,0,1005,0,275,1,12,0,438,1073,805,1,0,320,50,0,3,1122,720,720,720,156,232
64,0,1005,1,117,7,12,0,438,1011,795,1,0,320,50,0,3,1052,5,5,5,156,232
65,0,1005,0,275,1,12,0,438,2562,373,1,0,320,50,0,3,2694,720,720,720,156,232
66,0,1005,1,94,12,12,0,438,2382,869,1,0,320,50,0,3,2513,33,33,33,156,232
67,0,1005,0,225,4,8,2,438,1463,596,1,0,320,50,0,3,1538,1499,1499,1499,156,219
68,0,1005,1,148,3,12,0,438,3182,456,1,0,320,50,0,3,3352,1,1,1,156,232
69,0,1002,0,81,4,12,0,39,342,570,0,0,320,50,0,4,253,4,4,4,199,232
70,0,1005,1,15,12,12,0,438,286,26,1,0,216,36,0,4,304,79,79,79,199,232
71,0,1002,0,225,4,12,0,591,2174,801,0,0,320,50,0,4,3735,1499,1499,1499,199,81
72,0,1005,0,225,4,3,6,438,800,814,1,0,320,50,0,4,833,1499,1499,1499,199,218
73,0,1005,0,125,3,12,0,438,1188,720,1,0,300,250,0,4,1241,17,17,17,199,232
74,0,1005,0,125,3,12,0,438,3750,112,1,0,300,250,0,4,3959,17,17,17,199,232
