click,C1,banner_pos,site_domain,site_category,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C15,C16,date,time,user_id,device_ip_count,device_id_count,user_count,user_hour_count,user_bagged
0,1005,0,227,3,12,0,438,1599,138,1,0,320,50,0,0,1681,2,2,2,95,232
0,1005,1,7,12,12,0,438,611,393,1,0,320,50,0,0,638,30,30,30,95,232
0,1005,0,225,4,15,2,438,1212,505,1,0,320,50,0,0,1264,1499,1499,1499,95,255
0,1005,0,125,3,12,0,438,1034,373,1,0,300,250,0,0,1081,97,97,97,95,232
0,1005,0,227,3,12,0,438,3474,746,1,0,320,50,0,0,3663,2,2,2,95,232
0,1005,0,275,1,12,0,438,1832,453,1,0,320,50,0,0,1913,720,720,720,95,232
0,1005,0,275,1,12,0,438,2143,67,1,0,320,50,0,0,2237,720,720,720,95,232
0,1002,0,225,4,12,0,358,196,709,0,0,300,50,0,0,2296,4,4,4,95,232
1,1005,0,275,1,12,0,438,3697,157,1,0,320,50,0,0,3902,720,720,720,95,232
0,1005,0,275,1,12,0,438,403,108,1,0,320,50,0,0,428,720,720,720,95,232
0,1005,1,91,12,12,0,438,1591,324,1,0,320,50,0,0,1675,89,89,89,95,232
0,1005,1,15,12,12,0,438,358,453,1,0,320,50,0,1,381,79,79,79,100,232
0,1005,1,137,12,12,0,438,1988,271,1,0,320,50,0,1,2082,266,266,266,100,232
0,1005,0,194,12,12,0,438,1931,738,1,0,300,50,0,1,2022,21,21,21,100,232
0,1005,0,114,12,12,0,438,3696,588,1,0,320,50,0,1,3900,23,23,23,100,232
0,1005,0,275,1,12,0,438,1325,497,1,2,320,50,0,1,1382,720,720,720,100,232
0,1005,1,278,6,12,0,438,3399,448,1,0,320,50,0,1,3576,1,1,1,100,232
1,1005,1,7,12,12,0,438,3671,393,1,0,320,50,0,1,3872,30,30,30,100,232
1,1005,1,217,2,12,0,438,3860,406,1,0,320,50,0,1,4074,3,3,3,100,232
0,1005,1,137,12,12,0,438,1641,8,1,0,320,50,0,1,1721,266,266,266,100,232
0,1005,0,275,1,12,0,438,1644,540,1,0,320,50,0,1,1725,720,720,720,100,232
0,1005,0,225,4,3,2,438,1996,196,1,0,320,50,0,1,2091,1499,1499,1499,100,253
0,1005,1,16,12,12,0,438,2266,453,1,0,320,50,0,1,2377,27,27,27,100,232
0,1005,0,275,1,12,0,438,571,453,1,0,320,50,0,1,596,720,720,720,100,232
0,1005,0,104,12,12,0,438,1952,453,1,0,320,50,0,1,2041,1,1,1,100,232
